id,event,environment_ca_car_emission_slp,start,stop
AK,0,0.0040549698218601,0.0,26.0
AK,0,0.0392479420387847,26.0,27.0
AK,0,0.163526541752863,27.0,28.0
AK,0,0.2292616630570012,28.0,29.0
AK,0,0.2563989246709339,29.0,30.0
AK,0,0.2623062480692902,30.0,40.0
AK,0,0.2869849735299923,40.0,41.0
AL,0,0.0198499248440373,0.0,26.0
AL,0,0.0356513745584411,26.0,27.0
AL,0,0.1260760732893659,27.0,28.0
AL,0,0.1705336722813298,28.0,29.0
AL,0,0.1955860774913997,29.0,30.0
AL,0,0.197912694030906,30.0,40.0
AL,0,0.2013725236305114,40.0,41.0
AR,0,0.0541076794427751,0.0,26.0
AR,0,0.0729193126704937,26.0,27.0
AR,0,0.1907009287146648,27.0,28.0
AR,0,0.2872522866890358,28.0,29.0
AR,0,0.3269034996713281,29.0,30.0
AR,0,0.3643975154433311,30.0,40.0
AR,0,0.366447294291428,40.0,41.0
AZ,0,0.0237650331702964,0.0,26.0
AZ,1,0.0885952171373389,26.0,27.0
CA,1,0.0,0.0,23.0
CO,0,0.0306182602902699,0.0,26.0
CO,0,0.05045586097532,26.0,27.0
CO,0,0.1474446592503082,27.0,28.0
CO,0,0.1789907819555266,28.0,29.0
CO,0,0.2363444847882537,29.0,30.0
CO,1,0.2615903208127479,30.0,39.0
CT,0,0.0,0.0,24.0
CT,1,0.0440019317789058,24.0,25.0
DE,0,0.0229888937760558,0.0,26.0
DE,0,0.0597974984886103,26.0,27.0
DE,0,0.2417489510882152,27.0,28.0
DE,0,0.3758269360782181,28.0,29.0
DE,0,0.4353984805836616,29.0,30.0
DE,1,0.4353984805836616,30.0,31.0
FL,0,0.0489634851084144,0.0,26.0
FL,0,0.0849293680852347,26.0,27.0
FL,1,0.1683547958041905,27.0,28.0
GA,0,0.0337661588343758,0.0,26.0
GA,0,0.0497270788543216,26.0,27.0
GA,0,0.1780908464276996,27.0,28.0
GA,0,0.2517492234779967,28.0,29.0
GA,0,0.3207121391640265,29.0,30.0
GA,0,0.3487083739708229,30.0,40.0
GA,0,0.3841522060158503,40.0,41.0
HI,0,0.013420668436398,0.0,26.0
HI,0,0.0327077459202005,26.0,27.0
HI,0,0.1240916820592163,27.0,28.0
HI,0,0.1752645725846468,28.0,29.0
HI,0,0.2565220407843935,29.0,30.0
HI,0,0.2721969707026858,30.0,40.0
HI,0,0.2950741305088935,40.0,41.0
IA,0,0.0244791180651087,0.0,26.0
IA,0,0.0776895372612762,26.0,27.0
IA,0,0.1846545642959022,27.0,28.0
IA,0,0.2292969658273384,28.0,29.0
IA,0,0.26544784685983,29.0,30.0
IA,0,0.2703579105105455,30.0,40.0
IA,0,0.2826994326760741,40.0,41.0
ID,0,0.0059799883431731,0.0,26.0
ID,0,0.0919741447902604,26.0,27.0
ID,0,0.244245932152539,27.0,28.0
ID,0,0.3071446812699113,28.0,29.0
ID,0,0.3269003667327638,29.0,30.0
ID,0,0.3481140081803461,30.0,40.0
ID,0,0.3502790568635355,40.0,41.0
IL,0,0.0087660343476961,0.0,26.0
IL,0,0.0558981559138694,26.0,27.0
IL,0,0.1574363032059585,27.0,28.0
IL,0,0.2393843291256269,28.0,29.0
IL,0,0.3225285593623909,29.0,30.0
IL,0,0.3416530664169842,30.0,40.0
IL,0,0.373325816690094,40.0,41.0
IN,0,0.0039630544790213,0.0,26.0
IN,0,0.0965772011464328,26.0,27.0
IN,0,0.1512179497257465,27.0,28.0
IN,0,0.2019521032850948,28.0,29.0
IN,0,0.2275955807907884,29.0,30.0
IN,0,0.2303602374320304,30.0,40.0
IN,0,0.2369636345423098,40.0,41.0
KS,0,0.0071124247660804,0.0,26.0
KS,0,0.0275972622755252,26.0,27.0
KS,0,0.1729211983326253,27.0,28.0
KS,0,0.2040090024594992,28.0,29.0
KS,0,0.2761311754490181,29.0,30.0
KS,0,0.2848684896613626,30.0,40.0
KS,0,0.3052203265663745,40.0,41.0
KY,0,0.0939521743952216,0.0,26.0
KY,0,0.1478407943844798,26.0,27.0
KY,0,0.2803813705037664,27.0,28.0
KY,0,0.3511188565176581,28.0,29.0
KY,0,0.4287982735047416,29.0,30.0
KY,0,0.4594209527201724,30.0,40.0
KY,0,0.472569077939785,40.0,41.0
LA,0,0.0012577085281403,0.0,26.0
LA,0,0.0418229154548428,26.0,27.0
LA,0,0.122224238270606,27.0,28.0
LA,0,0.1566969386193078,28.0,29.0
LA,0,0.2300448423394633,29.0,30.0
LA,0,0.2409281768080549,30.0,40.0
LA,0,0.2419974223346708,40.0,41.0
MA,1,0.0026252528778766,0.0,26.0
MD,0,0.0249988075245758,0.0,26.0
MD,0,0.0669353538129148,26.0,27.0
MD,1,0.270113565253602,27.0,28.0
ME,1,0.0055741489436683,0.0,26.0
MI,0,0.0252345353799302,0.0,26.0
MI,0,0.0439468697745031,26.0,27.0
MI,0,0.141745637975926,27.0,28.0
MI,0,0.204658767020503,28.0,29.0
MI,0,0.3633362435997363,29.0,30.0
MI,0,0.3706986277298718,30.0,40.0
MI,0,0.3806094652451467,40.0,41.0
MN,0,0.0072342916060729,0.0,26.0
MN,0,0.1396867644393785,26.0,27.0
MN,0,0.2539133486362818,27.0,28.0
MN,0,0.3136409467559514,28.0,29.0
MN,0,0.3381726371399028,29.0,30.0
MN,0,0.3407198226872023,30.0,40.0
MN,0,0.3417252013915311,40.0,41.0
MO,0,0.0205054819257359,0.0,26.0
MO,0,0.070674659846709,26.0,27.0
MO,0,0.2105751536742226,27.0,28.0
MO,0,0.2453303215419829,28.0,29.0
MO,0,0.2993736877455618,29.0,30.0
MO,0,0.3875957905076047,30.0,40.0
MO,0,0.4011014361553249,40.0,41.0
MS,0,0.0410256726660999,0.0,26.0
MS,0,0.1022877473812245,26.0,27.0
MS,0,0.1905941520606543,27.0,28.0
MS,0,0.2441571247533156,28.0,29.0
MS,0,0.2775052365029923,29.0,30.0
MS,0,0.3619513111989528,30.0,40.0
MS,0,0.3620042145514609,40.0,41.0
MT,0,0.0387798828699538,0.0,26.0
MT,0,0.0619051580478991,26.0,27.0
MT,0,0.2022957307898258,27.0,28.0
MT,0,0.22881248110591,28.0,29.0
MT,0,0.2762126800143843,29.0,30.0
MT,0,0.2882155437527472,30.0,40.0
MT,0,0.2889084991689421,40.0,41.0
NC,0,0.0404538856140539,0.0,26.0
NC,0,0.0963768843643292,26.0,27.0
NC,0,0.1859907607856585,27.0,28.0
NC,0,0.3085134396319545,28.0,29.0
NC,0,0.4399220347756848,29.0,30.0
NC,0,0.4437575084328715,30.0,40.0
NC,0,0.4844040375146336,40.0,41.0
ND,0,0.0408353521313371,0.0,26.0
ND,0,0.1311428791811136,26.0,27.0
ND,0,0.2518170937361732,27.0,28.0
ND,0,0.2934991361935307,28.0,29.0
ND,0,0.3571964980578434,29.0,30.0
ND,0,0.3688442909171486,30.0,40.0
ND,0,0.375420474338246,40.0,41.0
NE,0,0.0216270064154669,0.0,26.0
NE,0,0.0638825124082247,26.0,27.0
NE,0,0.2028306184539219,27.0,28.0
NE,0,0.2334438401981646,28.0,29.0
NE,0,0.314894740983102,29.0,30.0
NE,0,0.3341471885490481,30.0,40.0
NE,0,0.3433872242953172,40.0,41.0
NH,0,0.0059380865512534,0.0,26.0
NH,0,0.1157093202817955,26.0,27.0
NH,0,0.2060431007498368,27.0,28.0
NH,0,0.2460956545517833,28.0,29.0
NH,0,0.263371417665544,29.0,30.0
NH,0,0.2818530576993124,30.0,40.0
NH,0,0.3309529608164199,40.0,41.0
NJ,0,0.0,0.0,24.0
NJ,1,0.0417171536571992,24.0,25.0
NM,0,0.0173045129016886,0.0,26.0
NM,0,0.0318700617665104,26.0,27.0
NM,1,0.151309768462548,27.0,28.0
NV,0,0.0249085745476559,0.0,26.0
NV,0,0.0491703465049431,26.0,27.0
NV,0,0.2154527390307312,27.0,28.0
NV,0,0.2422292589610922,28.0,29.0
NV,0,0.2760398493359958,29.0,30.0
NV,0,0.3079825457680909,30.0,40.0
NV,0,0.3283062461084585,40.0,41.0
NY,1,0.002652502237163,0.0,26.0
OH,0,0.003316927060026,0.0,26.0
OH,0,0.027339426607524,26.0,27.0
OH,0,0.2416456433085553,27.0,28.0
OH,0,0.3120906014727327,28.0,29.0
OH,0,0.3568452865142685,29.0,30.0
OH,0,0.3833334533307639,30.0,40.0
OH,0,0.4297003083379839,40.0,41.0
OK,0,0.0067085152043684,0.0,26.0
OK,0,0.0923430290366029,26.0,27.0
OK,0,0.2003290645055348,27.0,28.0
OK,0,0.2863488632414805,28.0,29.0
OK,0,0.3057966839429874,29.0,30.0
OK,0,0.323402131130633,30.0,40.0
OK,0,0.3639767817925297,40.0,41.0
OR,0,0.0226746334447003,0.0,26.0
OR,1,0.0752555529919025,26.0,27.0
PA,0,0.0126467229648507,0.0,26.0
PA,1,0.0390107846109449,26.0,27.0
RI,1,0.0238550477402658,0.0,26.0
SC,0,0.0081170323584111,0.0,26.0
SC,0,0.0550872523148343,26.0,27.0
SC,0,0.1177652909174826,27.0,28.0
SC,0,0.1634264261274152,28.0,29.0
SC,0,0.2438820259527286,29.0,30.0
SC,0,0.2838339470014114,30.0,40.0
SC,0,0.3053885676795955,40.0,41.0
SD,0,0.0063259555014958,0.0,26.0
SD,0,0.0140320968652881,26.0,27.0
SD,0,0.1254558805546571,27.0,28.0
SD,0,0.1841158958470946,28.0,29.0
SD,0,0.2059927865198038,29.0,30.0
SD,0,0.2230008861517701,30.0,40.0
SD,0,0.2333882257473539,40.0,41.0
TN,0,0.0022983737974569,0.0,26.0
TN,0,0.0681446656130622,26.0,27.0
TN,0,0.2312383166368871,27.0,28.0
TN,0,0.3009417554597329,28.0,29.0
TN,0,0.3599192942485638,29.0,30.0
TN,0,0.4123926819414705,30.0,40.0
TN,0,0.438201106318509,40.0,41.0
TX,0,0.0393318767716797,0.0,26.0
TX,0,0.0495903048034663,26.0,27.0
TX,0,0.1975800425583673,27.0,28.0
TX,0,0.2430849038415629,28.0,29.0
TX,0,0.3357368223989775,29.0,30.0
TX,0,0.3360179910435906,30.0,40.0
TX,0,0.3378791088934541,40.0,41.0
UT,0,0.0028473487689688,0.0,26.0
UT,0,0.0269958350148055,26.0,27.0
UT,0,0.081333542246799,27.0,28.0
UT,0,0.1039350655685476,28.0,29.0
UT,0,0.1802624384571486,29.0,30.0
UT,0,0.2009416677728069,30.0,40.0
UT,0,0.2152100778159846,40.0,41.0
VA,0,0.001841893232571,0.0,26.0
VA,0,0.0301947567638824,26.0,27.0
VA,0,0.1503311599907908,27.0,28.0
VA,0,0.1819534329582076,28.0,29.0
VA,0,0.2138898104881726,29.0,30.0
VA,0,0.2179178687833156,30.0,40.0
VA,0,0.2380343881016287,40.0,41.0
VT,1,0.0259803729834644,0.0,26.0
WA,1,0.0052990974399624,0.0,26.0
WI,0,0.0039338285956355,0.0,26.0
WI,0,0.0579723063546767,26.0,27.0
WI,0,0.1304241927997665,27.0,28.0
WI,0,0.1873702583182632,28.0,29.0
WI,0,0.1978091626094949,29.0,30.0
WI,0,0.2150677051694574,30.0,40.0
WI,0,0.2218590252338655,40.0,41.0
WV,0,0.0223345294443949,0.0,26.0
WV,0,0.1380189787388804,26.0,27.0
WV,0,0.2018729900223583,27.0,28.0
WV,0,0.2479759737476925,28.0,29.0
WV,0,0.2906425152532924,29.0,30.0
WV,0,0.3398076251721064,30.0,40.0
WV,0,0.3487475543564473,40.0,41.0
WY,0,0.0273548018011218,0.0,26.0
WY,0,0.1098609617865753,26.0,27.0
WY,0,0.2312880068135123,27.0,28.0
WY,0,0.3360272683647586,28.0,29.0
WY,0,0.3681740093914045,29.0,30.0
WY,0,0.3860261344381008,30.0,40.0
WY,0,0.4153509974026876,40.0,41.0
