id,event,environment_ghg_cap_21_slp,start,stop
AK,0,0.0,0.0,28.0
AK,0,0.1370191246392796,28.0,29.0
AK,0,0.1633197462938308,29.0,30.0
AK,0,0.1834537077645753,30.0,41.0
AL,0,0.0,0.0,28.0
AL,0,0.1210803048516523,28.0,29.0
AL,0,0.1491987886289283,29.0,30.0
AL,0,0.1784919016181007,30.0,41.0
AR,0,0.0,0.0,28.0
AR,0,0.144937375354985,28.0,29.0
AR,0,0.2287162556654056,29.0,30.0
AR,0,0.2370435407394335,30.0,41.0
AZ,0,0.0,0.0,28.0
AZ,0,0.098782691475007,28.0,29.0
AZ,0,0.2468503084610552,29.0,30.0
AZ,0,0.2668465319710494,30.0,41.0
CA,1,0.0,0.0,28.0
CO,0,0.0,0.0,28.0
CO,0,0.10403943571737,28.0,29.0
CO,0,0.1874142990040565,29.0,30.0
CO,0,0.1985716874053021,30.0,41.0
CT,1,0.0,0.0,27.0
DE,1,0.0,0.0,27.0
FL,0,0.0,0.0,28.0
FL,0,0.1004669352387382,28.0,29.0
FL,0,0.1918272913465562,29.0,30.0
FL,0,0.1964703984771295,30.0,41.0
GA,0,0.0,0.0,28.0
GA,0,0.1121840133031802,28.0,29.0
GA,0,0.2403771249289344,29.0,30.0
GA,0,0.2507277511592385,30.0,41.0
HI,0,0.0,0.0,28.0
HI,0,0.1178109208577863,28.0,29.0
HI,0,0.1718664189237276,29.0,30.0
HI,0,0.178627259834787,30.0,41.0
IA,0,0.0,0.0,28.0
IA,0,0.1074645560604465,28.0,29.0
IA,0,0.2152172341704047,29.0,30.0
IA,0,0.2328431768899756,30.0,41.0
ID,0,0.0,0.0,28.0
ID,0,0.1604154434447629,28.0,29.0
ID,0,0.2431849116741228,29.0,30.0
ID,0,0.2760595149834677,30.0,41.0
IL,0,0.0,0.0,28.0
IL,0,0.1507874520274369,28.0,29.0
IL,0,0.2429611560327463,29.0,30.0
IL,0,0.2449235641086751,30.0,41.0
IN,0,0.0,0.0,28.0
IN,0,0.1403052386884446,28.0,29.0
IN,0,0.1587376988540214,29.0,30.0
IN,0,0.162702920352557,30.0,41.0
KS,0,0.0,0.0,28.0
KS,0,0.1103407738405312,28.0,29.0
KS,0,0.1501868625413712,29.0,30.0
KS,0,0.2065733275924547,30.0,41.0
KY,0,0.0,0.0,28.0
KY,0,0.1601962882668925,28.0,29.0
KY,0,0.341344463283556,29.0,30.0
KY,0,0.3417740504336226,30.0,41.0
LA,0,0.0,0.0,28.0
LA,0,0.1195527831419376,28.0,29.0
LA,0,0.146841184712493,29.0,30.0
LA,0,0.1865126082999526,30.0,41.0
MA,1,0.0,0.0,28.0
MD,1,0.0,0.0,28.0
ME,1,0.0,0.0,27.0
MI,0,0.0,0.0,28.0
MI,0,0.0738650552910198,28.0,29.0
MI,0,0.2628975677591187,29.0,30.0
MI,0,0.2816910428557251,30.0,41.0
MN,0,0.0,0.0,28.0
MN,0,0.1999174631897848,28.0,29.0
MN,0,0.2499745815345245,29.0,30.0
MN,0,0.2977477574227158,30.0,41.0
MO,0,0.0,0.0,28.0
MO,0,0.2317775280420725,28.0,29.0
MO,0,0.3558891690623563,29.0,30.0
MO,0,0.3580017389022196,30.0,41.0
MS,0,0.0,0.0,28.0
MS,0,0.1961446559871619,28.0,29.0
MS,0,0.267956646362163,29.0,30.0
MS,0,0.2909864750451288,30.0,41.0
MT,0,0.0,0.0,28.0
MT,0,0.1546910177363877,28.0,29.0
MT,0,0.2591148870165725,29.0,30.0
MT,0,0.302549302831878,30.0,41.0
NC,0,0.0,0.0,28.0
NC,0,0.1322010626816943,28.0,29.0
NC,0,0.2157396033559257,29.0,30.0
NC,0,0.2199006707724917,30.0,41.0
ND,0,0.0,0.0,28.0
ND,0,0.169597010223269,28.0,29.0
ND,0,0.2606595320045521,29.0,30.0
ND,0,0.2722934510492512,30.0,41.0
NE,0,0.0,0.0,28.0
NE,0,0.1719698380042101,28.0,29.0
NE,0,0.2458619239307985,29.0,30.0
NE,0,0.2728482201308992,30.0,41.0
NH,1,0.0,0.0,27.0
NJ,1,0.0,0.0,27.0
NM,0,0.0,0.0,28.0
NM,0,0.1404961334638649,28.0,29.0
NM,0,0.1829701675350644,29.0,30.0
NM,0,0.1970068018394084,30.0,41.0
NV,0,0.0,0.0,28.0
NV,0,0.2017450022405831,28.0,29.0
NV,0,0.2397625770883476,29.0,30.0
NV,0,0.2530605831674196,30.0,41.0
NY,1,0.0,0.0,27.0
OH,0,0.0,0.0,28.0
OH,0,0.1652899388701254,28.0,29.0
OH,0,0.2201607067550254,29.0,30.0
OH,0,0.288374301783135,30.0,41.0
OK,0,0.0,0.0,28.0
OK,0,0.1780156014511569,28.0,29.0
OK,0,0.2277058405300047,29.0,30.0
OK,0,0.2521513655680526,30.0,41.0
OR,0,0.0,0.0,28.0
OR,0,0.1577666660942391,28.0,29.0
OR,0,0.2222322534078122,29.0,30.0
OR,0,0.2489961445996681,30.0,41.0
PA,0,0.0,0.0,28.0
PA,0,0.0593647716470438,28.0,29.0
PA,0,0.1035851911460371,29.0,30.0
PA,1,0.1486411284715094,30.0,41.0
RI,1,0.0,0.0,28.0
SC,0,0.0,0.0,28.0
SC,0,0.1375348382538347,28.0,29.0
SC,0,0.1844107930982693,29.0,30.0
SC,0,0.1959106902167265,30.0,41.0
SD,0,0.0,0.0,28.0
SD,0,0.1042355270268683,28.0,29.0
SD,0,0.1464711967032163,29.0,30.0
SD,0,0.1660595118803135,30.0,41.0
TN,0,0.0,0.0,28.0
TN,0,0.2527002923028139,28.0,29.0
TN,0,0.3014219827621062,29.0,30.0
TN,0,0.308862779086358,30.0,41.0
TX,0,0.0,0.0,28.0
TX,0,0.07871143043706,28.0,29.0
TX,0,0.1994209938022929,29.0,30.0
TX,0,0.2540109512016922,30.0,41.0
UT,0,0.0,0.0,28.0
UT,0,0.0990993290217357,28.0,29.0
UT,0,0.1349101640778034,29.0,30.0
UT,0,0.1501426383364302,30.0,41.0
VA,0,0.0,0.0,28.0
VA,0,0.0781173830073467,28.0,29.0
VA,0,0.1710477742552304,29.0,30.0
VA,1,0.1870227327326897,30.0,41.0
VT,1,0.0,0.0,27.0
WA,0,0.0,0.0,28.0
WA,0,0.159233757729228,28.0,29.0
WA,0,0.2108068075473579,29.0,30.0
WA,1,0.2108068075473579,30.0,37.0
WI,0,0.0,0.0,28.0
WI,0,0.1172824788192185,28.0,29.0
WI,0,0.1319940264188222,29.0,30.0
WI,0,0.1566998046538042,30.0,41.0
WV,0,0.0,0.0,28.0
WV,0,0.2138771807882453,28.0,29.0
WV,0,0.2852616454781997,29.0,30.0
WV,0,0.2942325727581474,30.0,41.0
WY,0,0.0,0.0,28.0
WY,0,0.18134657633866,28.0,29.0
WY,0,0.241811719166635,29.0,30.0
WY,0,0.2561691936484857,30.0,41.0
