id,event,ghg_standards_21_slp,start,stop
AK,0,0.0718188514837384,0.0,28.0
AK,0,0.0758738213055985,28.0,29.0
AK,0,0.0854852800187787,29.0,30.0
AK,0,0.1156721724888063,30.0,41.0
AL,0,0.0306849756585092,0.0,28.0
AL,0,0.0505349005025465,28.0,29.0
AL,0,0.0832956715464541,29.0,30.0
AL,0,0.1063687878171645,30.0,41.0
AR,0,0.070908621180112,0.0,28.0
AR,0,0.1250163006228871,28.0,29.0
AR,0,0.1471757961038314,29.0,30.0
AR,0,0.177207668859338,30.0,41.0
AZ,0,0.0230997112030995,0.0,28.0
AZ,0,0.046864744373396,28.0,29.0
AZ,0,0.0479185922559481,29.0,30.0
AZ,0,0.0597215916538995,30.0,41.0
CA,0,0.0327825440531658,0.0,26.0
CA,1,0.0461656826151808,26.0,27.0
CO,0,0.028100026864831,0.0,28.0
CO,0,0.0587182871551009,28.0,29.0
CO,0,0.0620784023499619,29.0,30.0
CO,0,0.1365881287610461,30.0,41.0
CT,0,0.085452644396496,0.0,28.0
CT,0,0.1294545761754018,28.0,29.0
CT,0,0.1836196679740946,29.0,30.0
CT,0,0.222188192860671,30.0,41.0
DE,0,0.1004665661578009,0.0,28.0
DE,0,0.1234554599338567,28.0,29.0
DE,0,0.126009483909015,29.0,30.0
DE,0,0.1621096995756864,30.0,41.0
FL,0,0.0103849559090804,0.0,28.0
FL,0,0.0593484410174948,28.0,29.0
FL,0,0.0665169382360089,29.0,30.0
FL,0,0.1033513133572111,30.0,41.0
GA,0,0.0625366822721743,0.0,28.0
GA,0,0.0963028411065502,28.0,29.0
GA,0,0.1791508186276987,29.0,30.0
GA,0,0.2013048581019133,30.0,41.0
HI,0,0.00946113087198,0.0,28.0
HI,0,0.022881799308378,28.0,29.0
HI,0,0.0271502409194956,29.0,30.0
HI,0,0.097252387696321,30.0,41.0
IA,0,0.0401341909502943,0.0,28.0
IA,0,0.064613309015403,28.0,29.0
IA,0,0.0734377540844765,29.0,30.0
IA,0,0.1306808469963546,30.0,41.0
ID,0,0.0517610161897982,0.0,28.0
ID,0,0.0577410045329714,28.0,29.0
ID,0,0.0886814675580378,29.0,30.0
ID,0,0.1364190967027893,30.0,41.0
IL,0,0.0165526335205363,0.0,28.0
IL,0,0.0253186678682324,28.0,29.0
IL,1,0.0382455864608129,29.0,30.0
IN,0,0.0171328256001799,0.0,28.0
IN,0,0.0210958800792012,28.0,29.0
IN,0,0.0331972452499728,29.0,30.0
IN,0,0.0493114650459644,30.0,41.0
KS,0,0.0619227798474724,0.0,28.0
KS,0,0.0690352046135528,28.0,29.0
KS,0,0.0695647080517588,29.0,30.0
KS,0,0.1317099314336674,30.0,41.0
KY,0,0.0588591369878105,0.0,28.0
KY,0,0.1528113113830321,28.0,29.0
KY,0,0.1785143796228226,29.0,30.0
KY,0,0.2221861691664095,30.0,41.0
LA,0,0.0519867599036254,0.0,28.0
LA,0,0.0532444684317658,28.0,29.0
LA,0,0.1230144806084254,29.0,30.0
LA,0,0.1421573312535295,30.0,41.0
MA,0,0.0473759466526024,0.0,28.0
MA,0,0.050001199530479,28.0,29.0
MA,0,0.0644379548916515,29.0,30.0
MA,0,0.1226508775859676,30.0,41.0
MD,0,0.0261036381425885,0.0,28.0
MD,0,0.0511024456671644,28.0,29.0
MD,0,0.0530246892427281,29.0,30.0
MD,0,0.1365766208234258,30.0,41.0
ME,0,0.0708588492142074,0.0,28.0
ME,0,0.0764329981578757,28.0,29.0
ME,0,0.0875809492554719,29.0,30.0
ME,0,0.1054157491545096,30.0,41.0
MI,0,0.0535796656433359,0.0,28.0
MI,0,0.0788142010232661,28.0,29.0
MI,0,0.0992505505587558,29.0,30.0
MI,0,0.1482408850605876,30.0,41.0
MN,0,0.0514401388783642,0.0,28.0
MN,0,0.0586744304844371,28.0,29.0
MN,0,0.0770946288992718,29.0,30.0
MN,0,0.1062255619212678,30.0,41.0
MO,0,0.0098409834691337,0.0,28.0
MO,0,0.0303464653948696,28.0,29.0
MO,0,0.0421312303831084,29.0,30.0
MO,0,0.0516211506827646,30.0,41.0
MS,0,0.0550489432744126,0.0,28.0
MS,0,0.0960746159405125,28.0,29.0
MS,0,0.1099122254855063,29.0,30.0
MS,0,0.1355633273371677,30.0,41.0
MT,1,0.0504811488824754,0.0,28.0
NC,0,0.0196923509004522,0.0,28.0
NC,0,0.0601462365145061,28.0,29.0
NC,0,0.0677855849182673,29.0,30.0
NC,0,0.1037949020574267,30.0,41.0
ND,0,0.026560924261302,0.0,28.0
ND,0,0.0673962763926391,28.0,29.0
ND,0,0.0736318082797505,29.0,30.0
ND,0,0.1067685867915373,30.0,41.0
NE,0,0.0369777177834418,0.0,28.0
NE,0,0.0586047241989087,28.0,29.0
NE,0,0.1041877694193458,29.0,30.0
NE,0,0.1675050957223271,30.0,41.0
NH,0,0.0333430861538139,0.0,28.0
NH,0,0.0392811727050674,28.0,29.0
NH,0,0.0430278619992307,29.0,30.0
NH,0,0.1321703073953123,30.0,41.0
NJ,0,0.0197134140324339,0.0,28.0
NJ,0,0.0614305676896331,28.0,29.0
NJ,0,0.0726166173494025,29.0,30.0
NJ,0,0.0960769671285769,30.0,41.0
NM,0,0.0146688054738971,0.0,28.0
NM,0,0.0319733183755858,28.0,29.0
NM,0,0.0531615176780797,29.0,30.0
NM,0,0.1433801273787456,30.0,41.0
NV,0,0.0346864474955946,0.0,28.0
NV,0,0.0595950220432506,28.0,29.0
NV,0,0.0656715385146844,29.0,30.0
NV,0,0.1236788674693663,30.0,41.0
NY,0,0.019307787893924,0.0,28.0
NY,0,0.0219602901310871,28.0,29.0
NY,1,0.0520583750676396,29.0,30.0
OH,0,0.0863451705119131,0.0,28.0
OH,0,0.0896620975719391,28.0,29.0
OH,0,0.098651033869609,29.0,30.0
OH,0,0.1092879574625284,30.0,41.0
OK,0,0.0692407083132585,0.0,28.0
OK,0,0.075949223517627,28.0,29.0
OK,0,0.1037717624943478,29.0,30.0
OK,0,0.1155481732021867,30.0,41.0
OR,1,0.0,0.0,18.0
PA,0,0.0453275794554762,0.0,28.0
PA,0,0.0579743024203269,28.0,29.0
PA,0,0.0690311259501051,29.0,30.0
PA,0,0.1189464958884322,30.0,41.0
RI,0,0.01478040373205,0.0,28.0
RI,0,0.0386354514723158,28.0,29.0
RI,0,0.0582640942637447,29.0,30.0
RI,0,0.1833072221692063,30.0,41.0
SC,0,0.034415521369302,0.0,28.0
SC,0,0.0425325537277132,28.0,29.0
SC,0,0.0503219565155872,29.0,30.0
SC,0,0.0883788656332765,30.0,41.0
SD,0,0.0587256354180711,0.0,28.0
SD,0,0.065051590919567,28.0,29.0
SD,0,0.1163243807789393,29.0,30.0
SD,0,0.1880535343348816,30.0,41.0
TN,0,0.0271522399228729,0.0,28.0
TN,0,0.0294506137203299,28.0,29.0
TN,0,0.1146930586770459,29.0,30.0
TN,0,0.2037110238932507,30.0,41.0
TX,0,0.0616917396908252,0.0,28.0
TX,0,0.101023616462505,28.0,29.0
TX,0,0.1106938435879905,29.0,30.0
TX,0,0.152050490401634,30.0,41.0
UT,0,0.0198305439067418,0.0,28.0
UT,0,0.0226778926757107,28.0,29.0
UT,0,0.0893533028490405,29.0,30.0
UT,0,0.1189573663297376,30.0,41.0
VA,0,0.0332312751204127,0.0,28.0
VA,0,0.0350731683529838,28.0,29.0
VA,0,0.0403174605311531,29.0,30.0
VA,0,0.096690186370349,30.0,41.0
VT,0,0.1020198201071486,0.0,28.0
VT,0,0.128000193090613,28.0,29.0
VT,0,0.1326473251034209,29.0,30.0
VT,0,0.1395937167269189,30.0,41.0
WA,1,0.0217670853417446,0.0,25.0
WI,0,0.0355524515642739,0.0,28.0
WI,0,0.0394862801599094,28.0,29.0
WI,0,0.0486715062888906,29.0,30.0
WI,0,0.070210759773298,30.0,41.0
WV,0,0.0252211405107135,0.0,28.0
WV,0,0.0475556699551084,28.0,29.0
WV,0,0.0482217261225492,29.0,30.0
WV,0,0.0843029574487352,30.0,41.0
WY,0,0.0577972073539556,0.0,28.0
WY,0,0.0851520091550775,28.0,29.0
WY,0,0.1126886163584405,29.0,30.0
WY,0,0.1525307254200739,30.0,41.0
