id,event,w_environment_solar_taxcred_slp,start,stop
MS,0,0.3322402127217917,4.0,16.0
MS,0,0.335079850816925,16.0,17.0
MS,0,0.3496001988889136,17.0,18.0
MS,0,0.3591534078813048,18.0,21.0
MS,0,0.4291663587458302,21.0,22.0
MS,0,0.4335067102787727,22.0,23.0
MS,0,0.5109010429339327,23.0,24.0
MS,0,0.5303555941582757,24.0,25.0
MS,0,0.5372106986364589,25.0,26.0
MS,0,0.5372106986364589,26.0,28.0
MS,0,0.5874043676960113,28.0,29.0
MS,0,0.6454670536020297,29.0,30.0
MS,0,0.6638155395717176,30.0,31.0
MS,0,0.6868453682546835,31.0,32.0
MS,0,0.7347855798819838,32.0,33.0
MS,0,0.8269705553868344,33.0,41.0
MT,1,0.2499510007039496,0.0,2.0
NC,0,0.155461254778593,0.0,2.0
NC,0,0.1763644841269619,2.0,3.0
NC,0,0.2244708065986981,3.0,4.0
NC,0,0.2543960523692955,4.0,16.0
NC,0,0.2643615986227137,16.0,17.0
NC,0,0.3114061499094396,17.0,18.0
NC,0,0.3123319611357916,18.0,21.0
NC,0,0.411155830573222,21.0,22.0
NC,0,0.4309532684682741,22.0,23.0
NC,0,0.4583629024484785,23.0,24.0
NC,0,0.5690482484708046,24.0,25.0
NC,0,0.5711258699317758,25.0,26.0
NC,0,0.5711258699317758,26.0,28.0
NC,0,0.6405684841950057,28.0,29.0
NC,0,0.6444085297236302,29.0,30.0
NC,0,0.6894108190372399,30.0,31.0
NC,0,0.693571886453806,31.0,32.0
NC,0,0.7771447054199871,32.0,33.0
NC,0,0.7916291435300935,33.0,41.0
ND,0,0.1964318016415992,0.0,2.0
ND,0,0.2069815844338127,2.0,3.0
ND,0,0.236972397986753,3.0,4.0
ND,0,0.2774176216866574,4.0,16.0
ND,0,0.2856780328342054,16.0,17.0
ND,0,0.2862657616012227,17.0,18.0
ND,0,0.2907425285651842,18.0,21.0
ND,1,0.4203886298598848,21.0,22.0
NE,0,0.1134686517222544,0.0,2.0
NE,0,0.1391830702009676,2.0,3.0
NE,0,0.202647341273408,3.0,4.0
NE,0,0.2384053090031159,4.0,16.0
NE,0,0.3092993055863097,16.0,17.0
NE,0,0.3127156663715706,17.0,18.0
NE,0,0.3209027300887888,18.0,21.0
NE,0,0.4116435342606603,21.0,22.0
NE,0,0.4460034520110605,22.0,23.0
NE,0,0.4868249147645627,23.0,24.0
NE,0,0.525728834081882,24.0,25.0
NE,0,0.5300376189414682,25.0,26.0
NE,1,0.5300376189414682,26.0,28.0
NH,0,0.2168875225839702,0.0,2.0
NH,0,0.2977743618264895,2.0,3.0
NH,0,0.3177632013277816,3.0,4.0
NH,0,0.3255297771532207,4.0,16.0
NH,0,0.3527070310063209,16.0,17.0
NH,0,0.3652572106501243,17.0,18.0
NH,0,0.3694968155420799,18.0,21.0
NH,0,0.4063576278417913,21.0,22.0
NH,0,0.4162577073346174,22.0,23.0
NH,0,0.4415810869477821,23.0,24.0
NH,0,0.4447171656767612,24.0,25.0
NH,0,0.4667697445370812,25.0,26.0
NH,0,0.4667697445370812,26.0,28.0
NH,0,0.4684897754744567,28.0,29.0
NH,0,0.5354691082884072,29.0,30.0
NH,0,0.5739329722502458,30.0,31.0
NH,0,0.5952474697444833,31.0,32.0
NH,0,0.6731716027634483,32.0,33.0
NH,0,0.7180022696022245,33.0,41.0
NJ,0,0.2364067707921072,0.0,16.0
NJ,0,0.2780434650465696,16.0,17.0
NJ,0,0.2926721121295605,17.0,18.0
NJ,0,0.2990076434519224,18.0,21.0
NJ,0,0.3642587465067401,21.0,22.0
NJ,0,0.4180856362806494,22.0,23.0
NJ,0,0.4782512037052149,23.0,24.0
NJ,0,0.480780087329794,24.0,25.0
NJ,0,0.4894045851519715,25.0,26.0
NJ,0,0.4894045851519715,26.0,28.0
NJ,0,0.5126071491674014,28.0,29.0
NJ,0,0.5719348734256281,29.0,30.0
NJ,0,0.6084643238645792,30.0,31.0
NJ,0,0.6229647621132962,31.0,32.0
NJ,0,0.6748226036829559,32.0,33.0
NJ,0,0.7070753449258351,33.0,41.0
NM,0,0.1641663005503901,0.0,2.0
NM,0,0.1670067011453335,2.0,3.0
NM,0,0.2381096891926161,3.0,4.0
NM,0,0.27565252203835,4.0,16.0
NM,0,0.2846795017878109,16.0,17.0
NM,0,0.2873576441345082,17.0,18.0
NM,0,0.3153333838484221,18.0,21.0
NM,0,0.3577552208279527,21.0,22.0
NM,1,0.3741298030006127,22.0,23.0
NV,0,0.1619263328774331,0.0,2.0
NV,0,0.1668390182408598,2.0,3.0
NV,1,0.2273870783240988,3.0,4.0
NY,0,0.0956206818369779,0.0,2.0
NY,0,0.1148744111971554,2.0,3.0
NY,0,0.1691002135730102,3.0,4.0
NY,0,0.2334777440227541,4.0,16.0
NY,0,0.3053255098280761,16.0,17.0
NY,0,0.3131661810414076,17.0,18.0
NY,0,0.3329867750410917,18.0,21.0
NY,0,0.3745956885438852,21.0,22.0
NY,0,0.4238974724323002,22.0,23.0
NY,0,0.5077734817092053,23.0,24.0
NY,0,0.5544544835247984,24.0,25.0
NY,0,0.5636550182660618,25.0,26.0
NY,0,0.5636550182660618,26.0,28.0
NY,0,0.5720520315916416,28.0,29.0
NY,0,0.5974295148326527,29.0,30.0
NY,0,0.6712351596484392,30.0,31.0
NY,0,0.6874868454849549,31.0,32.0
NY,0,0.7815083865344338,32.0,33.0
NY,0,0.8232980915783243,33.0,41.0
OH,0,0.2257968742543659,0.0,2.0
OH,0,0.2456383269279373,2.0,3.0
OH,0,0.3019319045520288,3.0,4.0
OH,0,0.3271193358245673,4.0,16.0
OH,0,0.3439799520978422,16.0,17.0
OH,0,0.392064116263345,17.0,18.0
OH,0,0.4135818383315803,18.0,21.0
OH,0,0.4500085654934533,21.0,22.0
OH,0,0.4544288151716715,22.0,23.0
OH,0,0.4816545214768203,23.0,24.0
OH,0,0.5004712347719027,24.0,25.0
OH,0,0.5160427985535857,25.0,26.0
OH,0,0.5160427985535857,26.0,28.0
OH,0,0.5418770085261669,28.0,29.0
OH,0,0.5591771460666113,29.0,30.0
OH,1,0.5647701162939973,30.0,31.0
OK,0,0.1387494934399535,0.0,2.0
OK,0,0.1902235614300556,2.0,3.0
OK,0,0.23451046302596,3.0,4.0
OK,0,0.2940151972576879,4.0,16.0
OK,0,0.3112840267809297,16.0,17.0
OK,0,0.3118516696054623,17.0,18.0
OK,0,0.3182130742941215,18.0,21.0
OK,0,0.3741465463993042,21.0,22.0
OK,0,0.3779097292327435,22.0,23.0
OK,0,0.4610150539435638,23.0,24.0
OK,0,0.4703382871229722,24.0,25.0
OK,0,0.4832155107785182,25.0,26.0
OK,0,0.4832155107785182,26.0,28.0
OK,0,0.5173980847130031,28.0,29.0
OK,0,0.5260763807885929,29.0,30.0
OK,0,0.6178156377167409,30.0,31.0
OK,0,0.6422611627547887,31.0,32.0
OK,0,0.7444261266167226,32.0,33.0
OK,0,0.7859732221264012,33.0,41.0
OR,0,0.1046537024891612,0.0,2.0
OR,0,0.1492355259685313,2.0,3.0
OR,0,0.1812036113513879,3.0,4.0
OR,0,0.2270309368213966,4.0,16.0
OR,0,0.274302807846311,16.0,17.0
OR,0,0.305879082623379,17.0,18.0
OR,0,0.3214934422156264,18.0,21.0
OR,0,0.3815510316751603,21.0,22.0
OR,0,0.391052114370356,22.0,23.0
OR,0,0.4281778013207501,23.0,24.0
OR,0,0.438144399168041,24.0,25.0
OR,0,0.4522538885633874,25.0,26.0
OR,0,0.4522538885633874,26.0,28.0
OR,0,0.5501182399286324,28.0,29.0
OR,0,0.5846481875470929,29.0,30.0
OR,0,0.6142353185510165,30.0,31.0
OR,0,0.6409992097428724,31.0,32.0
OR,0,0.7081902312754839,32.0,33.0
OR,0,0.7410599090734262,33.0,41.0
PA,0,0.129930168361503,0.0,2.0
PA,0,0.1401365924444751,2.0,3.0
PA,0,0.1853036874873289,3.0,4.0
PA,0,0.2159000303627396,4.0,16.0
PA,0,0.2456628087958978,16.0,17.0
PA,0,0.3110269085541203,17.0,18.0
PA,0,0.3489126657034689,18.0,21.0
PA,0,0.3739361523260158,21.0,22.0
PA,0,0.3828092085070083,22.0,23.0
PA,0,0.4550497900109196,23.0,24.0
PA,0,0.4574740308229119,24.0,25.0
PA,0,0.5080081343208857,25.0,26.0
PA,0,0.5080081343208857,26.0,28.0
PA,0,0.5116584147952579,28.0,29.0
PA,0,0.5588304225952374,29.0,30.0
PA,0,0.6280484197662577,30.0,31.0
PA,0,0.67310435709173,31.0,32.0
PA,0,0.7069362846643963,32.0,33.0
PA,0,0.727057784673811,33.0,41.0
RI,0,0.1236905895925648,0.0,2.0
RI,0,0.1760775328478261,2.0,3.0
RI,0,0.2356414443921989,3.0,4.0
RI,0,0.2590862285564611,4.0,16.0
RI,0,0.2808181561339769,16.0,17.0
RI,0,0.2928639657613476,17.0,18.0
RI,0,0.3026235383494124,18.0,21.0
RI,1,0.3366228542625079,21.0,22.0
SC,0,0.1401153139684866,0.0,2.0
SC,0,0.1838812210143739,2.0,3.0
SC,0,0.2264448923484073,3.0,4.0
SC,0,0.2611461617744153,4.0,16.0
SC,0,0.2623444155094049,16.0,17.0
SC,0,0.2828652423120489,17.0,18.0
SC,0,0.2903463057271209,18.0,21.0
SC,0,0.3310314852633584,21.0,22.0
SC,0,0.3471483340495812,22.0,23.0
SC,0,0.3757585877263206,23.0,24.0
SC,0,0.4326162753503392,24.0,25.0
SC,0,0.4889656395246948,25.0,26.0
SC,1,0.4889656395246948,26.0,27.0
SD,0,0.2289543969737789,0.0,2.0
SD,0,0.2290654400268644,2.0,3.0
SD,0,0.4453791914968716,3.0,4.0
SD,0,0.448730426490222,4.0,16.0
SD,0,0.4806325315620681,16.0,17.0
SD,0,0.481741645403289,17.0,18.0
SD,0,0.4832949196424262,18.0,21.0
SD,0,0.5144367219882003,21.0,22.0
SD,0,0.5285532474084816,22.0,23.0
SD,0,0.5682337673289556,23.0,24.0
SD,0,0.5744408583422463,24.0,25.0
SD,0,0.5876787317876835,25.0,26.0
SD,0,0.5876787317876835,26.0,28.0
SD,0,0.6094237092806905,28.0,29.0
SD,0,0.6815895218942865,29.0,30.0
SD,0,0.6947528137883199,30.0,31.0
SD,0,0.7143411289654171,31.0,32.0
SD,0,0.7386047629832578,32.0,33.0
SD,0,0.7842800085340267,33.0,41.0
TN,0,0.1664271459846132,0.0,2.0
TN,0,0.199873511366686,2.0,3.0
TN,0,0.3000430551176815,3.0,4.0
TN,0,0.3178989743323474,4.0,16.0
TN,0,0.3660976951773804,16.0,17.0
TN,0,0.3673472951942826,17.0,18.0
TN,0,0.3848002649881887,18.0,21.0
TN,0,0.4730327911084047,21.0,22.0
TN,0,0.4886726781870315,22.0,23.0
TN,0,0.5202988977731655,23.0,24.0
TN,0,0.5461835796894635,24.0,25.0
TN,0,0.5851155157994645,25.0,26.0
TN,0,0.5851155157994645,26.0,28.0
TN,0,0.5859950547411344,28.0,29.0
TN,0,0.6402798628220048,29.0,30.0
TN,1,0.6789666387240997,30.0,31.0
TX,1,0.1136104069732955,0.0,2.0
UT,0,0.1410164214600688,0.0,2.0
UT,0,0.1623669394852782,2.0,3.0
UT,0,0.2903686048872851,3.0,4.0
UT,0,0.3101422287860566,4.0,16.0
UT,0,0.3231557570208361,16.0,17.0
UT,0,0.3286713558880783,17.0,18.0
UT,0,0.362696926943469,18.0,21.0
UT,1,0.3913644605416926,21.0,22.0
VA,0,0.1935146988965486,0.0,2.0
VA,0,0.1953275648878221,2.0,3.0
VA,0,0.2167713910001629,3.0,4.0
VA,0,0.2652891112176714,4.0,16.0
VA,0,0.2928404427155348,16.0,17.0
VA,0,0.3034256079255107,17.0,18.0
VA,0,0.3055665034495498,18.0,21.0
VA,0,0.3196481319165232,21.0,22.0
VA,0,0.3364779696223648,22.0,23.0
VA,0,0.43368797449768,23.0,24.0
VA,0,0.4466536187977644,24.0,25.0
VA,0,0.4836465949069243,25.0,26.0
VA,0,0.4836465949069243,26.0,28.0
VA,0,0.4963453464007564,28.0,29.0
VA,0,0.5416779741035046,29.0,30.0
VA,0,0.5688609862259585,30.0,31.0
VA,0,0.5848359447034178,31.0,32.0
VA,0,0.6191708500566276,32.0,33.0
VA,0,0.7064854460074443,33.0,41.0
VT,0,0.1010235340527053,0.0,2.0
VT,0,0.1228000349666026,2.0,3.0
VT,0,0.1434217927011826,3.0,4.0
VT,0,0.1717295850982181,4.0,16.0
VT,0,0.2402274486898321,16.0,17.0
VT,0,0.2779950228274646,17.0,18.0
VT,0,0.2779950228274646,18.0,19.0
VT,1,0.288976357422444,19.0,20.0
WA,0,0.1497366057267083,0.0,2.0
WA,0,0.1954651601556788,2.0,3.0
WA,0,0.2429718303442989,3.0,4.0
WA,0,0.3064316963695777,4.0,16.0
WA,0,0.321151424888677,16.0,17.0
WA,0,0.3307666021924001,17.0,18.0
WA,0,0.3548676023132028,18.0,21.0
WA,0,0.4113453606629591,21.0,22.0
WA,0,0.4209561901044966,22.0,23.0
WA,0,0.503163003577158,23.0,24.0
WA,0,0.5188786407900261,24.0,25.0
WA,0,0.5409510481438101,25.0,26.0
WA,0,0.5409510481438101,26.0,28.0
WA,0,0.5648668656497716,28.0,29.0
WA,1,0.625906691506635,29.0,30.0
WI,1,0.1596622915531402,0.0,2.0
WV,0,0.149934063263929,0.0,2.0
WV,0,0.2650350301793307,2.0,3.0
WV,0,0.2936429582308963,3.0,4.0
WV,0,0.3239648544234448,4.0,16.0
WV,0,0.3328992861589299,16.0,17.0
WV,0,0.358410187924748,17.0,18.0
WV,0,0.359326625135718,18.0,21.0
WV,0,0.4055276884426448,21.0,22.0
WV,0,0.445940547101333,22.0,23.0
WV,0,0.4609301571569278,23.0,24.0
WV,0,0.4622674027928695,24.0,25.0
WV,0,0.4888354320311583,25.0,26.0
WV,0,0.4888354320311583,26.0,28.0
WV,0,0.5053361464267607,28.0,29.0
WV,0,0.554639063735226,29.0,30.0
WV,0,0.6197974167530688,30.0,31.0
WV,0,0.6287683440330165,31.0,32.0
WV,0,0.6995909710269835,32.0,33.0
WV,0,0.8009395725028228,33.0,41.0
WY,0,0.1962883855866604,0.0,2.0
WY,0,0.2784812049686527,2.0,3.0
WY,0,0.3939751582577322,3.0,4.0
WY,0,0.4028636373756808,4.0,16.0
WY,0,0.4127317199670692,16.0,17.0
WY,0,0.4645851897501765,17.0,18.0
WY,0,0.4842819059448491,18.0,21.0
WY,0,0.5496949954778902,21.0,22.0
WY,0,0.5504056272842696,22.0,23.0
WY,0,0.6005213034618766,23.0,24.0
WY,0,0.6122606964874704,24.0,25.0
WY,0,0.6186289043005229,25.0,26.0
WY,0,0.6186289043005229,26.0,28.0
WY,0,0.6662575664234631,28.0,29.0
WY,0,0.6815914605907761,29.0,30.0
WY,0,0.7032746160567532,30.0,31.0
WY,0,0.7176320905386039,31.0,32.0
WY,0,0.7719326022363739,32.0,33.0
WY,0,0.796269653721426,33.0,41.0
