id,event,w_gg_rr_21_slp,start,stop
AK,0,0.0,0.0,28.0
AK,0,0.0040549698218601,28.0,29.0
AK,0,0.1169846961302419,29.0,30.0
AK,0,0.1910313704093464,30.0,31.0
AK,0,0.3435048600935848,31.0,32.0
AK,0,0.3435048600935848,32.0,41.0
AL,0,0.0,0.0,28.0
AL,0,0.0198499248440373,28.0,29.0
AL,0,0.0470954690856867,29.0,30.0
AL,0,0.0898334760602195,30.0,31.0
AL,0,0.2757456129283648,31.0,32.0
AL,0,0.2757456129283648,32.0,41.0
AR,0,0.0,0.0,28.0
AR,0,0.0541076794427751,28.0,29.0
AR,0,0.0793968892229794,29.0,30.0
AR,0,0.1686121359571989,30.0,31.0
AR,0,0.4140818636141727,31.0,32.0
AR,0,0.4140818636141727,32.0,41.0
AZ,0,0.0,0.0,28.0
AZ,0,0.0237650331702964,28.0,29.0
AZ,0,0.0735753250302895,29.0,30.0
AZ,0,0.1031296503672164,30.0,31.0
AZ,0,0.3450001663328377,31.0,32.0
AZ,0,0.3450001663328377,32.0,41.0
CA,1,0.0,0.0,27.0
CO,0,0.0,0.0,28.0
CO,0,0.0306182602902699,28.0,29.0
CO,0,0.1163007545337632,29.0,30.0
CO,0,0.1618913523483318,30.0,31.0
CO,0,0.3488384099733532,31.0,32.0
CO,0,0.3488384099733532,32.0,41.0
CT,0,0.0,0.0,28.0
CT,0,0.0440019317789058,28.0,29.0
CT,1,0.1102130659273351,29.0,30.0
DE,0,0.0,0.0,28.0
DE,0,0.0229888937760558,28.0,29.0
DE,1,0.0902082953834757,29.0,30.0
FL,0,0.0,0.0,28.0
FL,1,0.0489634851084144,28.0,29.0
GA,0,0.0,0.0,28.0
GA,0,0.0337661588343758,28.0,29.0
GA,0,0.0655210432022839,29.0,30.0
GA,0,0.1459191274535337,30.0,31.0
GA,0,0.3718141580293125,31.0,32.0
GA,0,0.3718141580293125,32.0,41.0
HI,0,0.0,0.0,28.0
HI,0,0.013420668436398,28.0,29.0
HI,0,0.0735156223587413,29.0,30.0
HI,0,0.0956652257351995,30.0,31.0
HI,0,0.3013292593923384,31.0,32.0
HI,0,0.3013292593923384,32.0,41.0
IA,1,0.0,0.0,28.0
ID,0,0.0,0.0,28.0
ID,0,0.0059799883431731,28.0,29.0
ID,0,0.1132875841833036,29.0,30.0
ID,0,0.1719864282675774,30.0,31.0
ID,0,0.4232046077452354,31.0,32.0
ID,0,0.4232046077452354,32.0,41.0
IL,0,0.0,0.0,28.0
IL,0,0.0087660343476961,28.0,29.0
IL,0,0.0526732797382911,29.0,30.0
IL,0,0.0699042823238297,30.0,31.0
IL,0,0.3012808385898699,31.0,32.0
IL,0,0.3012808385898699,32.0,41.0
IN,0,0.0,0.0,28.0
IN,0,0.0039630544790213,28.0,29.0
IN,0,0.0712298125265485,29.0,30.0
IN,0,0.099364356516437,30.0,31.0
IN,0,0.2616505390539023,31.0,32.0
IN,0,0.2616505390539023,32.0,41.0
KS,0,0.0,0.0,28.0
KS,0,0.0071124247660804,28.0,29.0
KS,0,0.0492824456497903,29.0,30.0
KS,0,0.1477399175453308,30.0,31.0
KS,0,0.3231222511573916,31.0,32.0
KS,0,0.3231222511573916,32.0,41.0
KY,0,0.0,0.0,28.0
KY,0,0.0939521743952216,28.0,29.0
KY,0,0.1454374744819595,29.0,30.0
KY,0,0.2341669922004652,30.0,31.0
KY,0,0.4732561378524764,31.0,32.0
KY,0,0.4732561378524764,32.0,41.0
LA,0,0.0,0.0,28.0
LA,0,0.0012577085281403,28.0,29.0
LA,0,0.0606381857032271,29.0,30.0
LA,0,0.1711771774063354,30.0,31.0
LA,0,0.2963386786748703,31.0,32.0
LA,0,0.2963386786748703,32.0,41.0
MA,0,0.0,0.0,28.0
MA,0,0.0026252528778766,28.0,29.0
MA,1,0.0744355693807639,29.0,30.0
MD,0,0.0,0.0,28.0
MD,0,0.0249988075245758,28.0,29.0
MD,1,0.0627308661687231,29.0,30.0
ME,0,0.0,0.0,28.0
ME,0,0.0055741489436683,28.0,29.0
ME,1,0.0203081673579717,29.0,30.0
MI,0,0.0,0.0,28.0
MI,0,0.0252345353799302,28.0,29.0
MI,0,0.0815774657486617,29.0,30.0
MI,0,0.1609902626241749,30.0,31.0
MI,0,0.4165580818105371,31.0,32.0
MI,0,0.4165580818105371,32.0,41.0
MN,0,0.0,0.0,28.0
MN,0,0.0072342916060729,28.0,29.0
MN,0,0.1742252664932319,29.0,30.0
MN,0,0.2295683309482383,30.0,31.0
MN,0,0.3946476470179381,31.0,32.0
MN,0,0.3946476470179381,32.0,41.0
MO,0,0.0,0.0,28.0
MO,0,0.0205054819257359,28.0,29.0
MO,0,0.0922127673669373,29.0,30.0
MO,0,0.1068891437718152,30.0,31.0
MO,0,0.4544305402291077,31.0,32.0
MO,0,0.4544305402291077,32.0,41.0
MS,0,0.0,0.0,28.0
MS,0,0.0410256726660999,28.0,29.0
MS,0,0.1578715959698379,29.0,30.0
MS,0,0.2224737482366418,30.0,31.0
MS,0,0.4461265014808278,31.0,32.0
MS,0,0.4461265014808278,32.0,41.0
MT,0,0.0,0.0,28.0
MT,0,0.0387798828699538,28.0,29.0
MT,0,0.0978071804840803,29.0,30.0
MT,0,0.1566618225888115,30.0,31.0
MT,0,0.4218196590438814,31.0,32.0
MT,0,0.4218196590438814,32.0,41.0
NC,0,0.0,0.0,28.0
NC,0,0.0404538856140539,28.0,29.0
NC,1,0.143481887163109,29.0,30.0
ND,0,0.0,0.0,28.0
ND,0,0.0408353521313371,28.0,29.0
ND,0,0.0974120871139274,29.0,30.0
ND,0,0.1284497783391909,30.0,31.0
ND,0,0.4175166936231642,31.0,32.0
ND,0,0.4175166936231642,32.0,41.0
NE,0,0.0,0.0,28.0
NE,0,0.0216270064154669,28.0,29.0
NE,0,0.0742812957511258,29.0,30.0
NE,0,0.1194460772517858,30.0,31.0
NE,0,0.3855530940733939,31.0,32.0
NE,0,0.3855530940733939,32.0,41.0
NH,0,0.0,0.0,28.0
NH,0,0.0059380865512534,28.0,29.0
NH,1,0.1660315167500504,29.0,30.0
NJ,1,0.0,0.0,28.0
NM,0,0.0,0.0,28.0
NM,0,0.0173045129016886,28.0,29.0
NM,1,0.0457395388934039,29.0,30.0
NV,0,0.0,0.0,28.0
NV,0,0.0249085745476559,28.0,29.0
NV,0,0.0595552879527754,29.0,30.0
NV,0,0.1197116683876915,30.0,31.0
NV,0,0.362506899065798,31.0,32.0
NV,0,0.362506899065798,32.0,41.0
NY,0,0.0,0.0,28.0
NY,0,0.002652502237163,28.0,29.0
NY,1,0.0327754677565832,29.0,30.0
OH,0,0.0,0.0,28.0
OH,0,0.003316927060026,28.0,29.0
OH,0,0.0417713413779056,29.0,30.0
OH,0,0.149634233958054,30.0,31.0
OH,0,0.4157828180011293,31.0,32.0
OH,0,0.4157828180011293,32.0,41.0
OK,0,0.0,0.0,28.0
OK,0,0.0067085152043684,28.0,29.0
OK,0,0.0823601951720984,29.0,30.0
OK,0,0.1579623081740163,30.0,31.0
OK,0,0.3704396753909965,31.0,32.0
OK,0,0.3704396753909965,32.0,41.0
OR,0,0.0,0.0,28.0
OR,1,0.0226746334447003,28.0,29.0
PA,0,0.0,0.0,28.0
PA,0,0.0126467229648507,28.0,29.0
PA,0,0.0663047582526698,29.0,30.0
PA,0,0.1495180948574947,30.0,31.0
PA,0,0.2394720959779715,31.0,32.0
PA,0,0.2394720959779715,32.0,41.0
RI,0,0.0,0.0,28.0
RI,0,0.0238550477402658,28.0,29.0
RI,1,0.0984732509976109,29.0,30.0
SC,0,0.0,0.0,28.0
SC,0,0.0081170323584111,28.0,29.0
SC,0,0.0762971361381305,29.0,30.0
SC,0,0.1181937209225045,30.0,31.0
SC,0,0.3238967949475874,31.0,32.0
SC,0,0.3238967949475874,32.0,41.0
SD,0,0.0,0.0,28.0
SD,0,0.0063259555014958,28.0,29.0
SD,0,0.0293812485941699,29.0,30.0
SD,0,0.0896601582513782,30.0,31.0
SD,0,0.2823336728414479,31.0,32.0
SD,0,0.2823336728414479,32.0,41.0
TN,0,0.0,0.0,28.0
TN,0,0.0022983737974569,28.0,29.0
TN,0,0.0651302469464634,29.0,30.0
TN,0,0.1097354566632425,30.0,31.0
TN,0,0.4068020032780661,31.0,32.0
TN,0,0.4068020032780661,32.0,41.0
TX,0,0.0,0.0,28.0
TX,0,0.0393318767716797,28.0,29.0
TX,0,0.1002132706273718,29.0,30.0
TX,0,0.1948531696514523,30.0,31.0
TX,0,0.4039935552801273,31.0,32.0
TX,0,0.4039935552801273,32.0,41.0
UT,0,0.0,0.0,28.0
UT,0,0.0028473487689688,28.0,29.0
UT,0,0.1242060192861364,29.0,30.0
UT,0,0.178062134248269,30.0,31.0
UT,0,0.3200734576074675,31.0,32.0
UT,0,0.3200734576074675,32.0,41.0
VA,0,0.0,0.0,28.0
VA,0,0.001841893232571,28.0,29.0
VA,0,0.0306664466355261,29.0,30.0
VA,0,0.0660386172799779,30.0,31.0
VA,0,0.2468092155024708,31.0,32.0
VA,0,0.2468092155024708,32.0,41.0
VT,0,0.0,0.0,28.0
VT,0,0.0259803729834644,28.0,29.0
VT,1,0.0598809448236846,29.0,30.0
WA,0,0.0,0.0,28.0
WA,1,0.0052990974399624,28.0,29.0
WI,1,0.0,0.0,28.0
WV,0,0.0,0.0,28.0
WV,0,0.0223345294443949,28.0,29.0
WV,0,0.1723428707184638,29.0,30.0
WV,0,0.1984804484401473,30.0,31.0
WV,0,0.3606632299442391,31.0,32.0
WV,0,0.3606632299442391,32.0,41.0
WY,0,0.0,0.0,28.0
WY,0,0.0273548018011218,28.0,29.0
WY,0,0.1491391285675708,29.0,30.0
WY,0,0.2266330521161991,30.0,31.0
WY,0,0.3804084178144646,31.0,32.0
WY,0,0.3804084178144646,32.0,41.0
